canal_id,nombre_canal,categoria,provincia,ciudad,suscriptores,certeza,metodo_deteccion,indicadores_argentinidad,url,fecha_deteccion
UCJQFPvUH5n4ee-UYuTPxjXg,Túnel 57 El Programa,Entretenimiento,Argentina,Por determinar,783.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCJQFPvUH5n4ee-UYuTPxjXg,2025-06-18
UCT2utGZxr-z8zP87ctLFUYA,ABLA,Arte,Argentina,Por determinar,5320.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCT2utGZxr-z8zP87ctLFUYA,2025-06-18
UCndkxczK408t6TygfEE6G5Q,Feria Internacional del Libro de Buenos Aires,Entretenimiento,Santa Fe,Por determinar,14100.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCndkxczK408t6TygfEE6G5Q,2025-06-18
UCKPqqHlEtPfJ-WOePpTUFPw,Radio Zonica,IRL/Vlogs,Buenos Aires,Por determinar,24400.0,93.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCKPqqHlEtPfJ-WOePpTUFPw,2025-06-18
UC5wXzmxFZSP_YxMXdqSTxaw,Full medios ,Entretenimiento,Argentina,Por determinar,1010.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UC5wXzmxFZSP_YxMXdqSTxaw,2025-06-18
UCc9Bs-j0L5zIBTlGc__4l6g,FEMEBA Oficial,Charlas/Podcast,Buenos Aires,Por determinar,2850.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCc9Bs-j0L5zIBTlGc__4l6g,2025-06-18
UCbD0Y20AmGaBfCCVvqMAZbQ, RampoldiHD,Entretenimiento,Buenos Aires,Por determinar,520.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCbD0Y20AmGaBfCCVvqMAZbQ,2025-06-18
UCWzsoIEZLGLinhYrm66VD4Q,ELONCE ,Tecnología,Santa Fe,Por determinar,154000.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCWzsoIEZLGLinhYrm66VD4Q,2025-06-18
UCjNKvpSdCzsSK-C3o5ujdeQ,Club San Carlos,Entretenimiento,Argentina,Por determinar,656.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCjNKvpSdCzsSK-C3o5ujdeQ,2025-06-18
UCuQsJ1-qgoWKYkVbaK8Z7Lw,Make Music,Música,Córdoba,Por determinar,688.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCuQsJ1-qgoWKYkVbaK8Z7Lw,2025-06-18
UC50ziyg5IROjRphtcGkwh_A,Huesos y Mate,IRL/Vlogs,Buenos Aires,Por determinar,1500.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UC50ziyg5IROjRphtcGkwh_A,2025-06-18
UCqNviM_q_MzNkofKmK5RhUA,Rock para Mamiferos,Música,Buenos Aires,Por determinar,1950.0,93.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCqNviM_q_MzNkofKmK5RhUA,2025-06-18
UC3Tatm5cDChUnPHsmLKFu2w,OYD TV DANIEL GOMEZ,Entretenimiento,Argentina,Por determinar,938.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UC3Tatm5cDChUnPHsmLKFu2w,2025-06-18
UCARsYvoYOg7Vu4NGlCW01-A,Stream Underground,Música,Buenos Aires,Por determinar,8340.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCARsYvoYOg7Vu4NGlCW01-A,2025-06-18
UCzzIcVtwj0qJVVYnAMuTEOQ,Dani Tavernise,Charlas/Podcast,Santa Fe,Por determinar,614.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCzzIcVtwj0qJVVYnAMuTEOQ,2025-06-18
UCXomef-enctNBVqKDs3zjXw,La Fragua Estudio,Música,Santa Fe,Por determinar,1120.0,97.0,local_code,codigo_ROS,https://youtube.com/channel/UCXomef-enctNBVqKDs3zjXw,2025-06-18
UCHybeXz9Mr17nOrRD6vu6FA,Secretaría de Cultura y Extensión Universitaria UTN Buenos Aires,Entretenimiento,Buenos Aires,Por determinar,722.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCHybeXz9Mr17nOrRD6vu6FA,2025-06-18
UCnAQcdp8YqgpMS9-x-hWphA,Canal 7 NQN Noticias ,Entretenimiento,Neuquén,Por determinar,12000.0,92.0,local_code,codigo_NQN,https://youtube.com/channel/UCnAQcdp8YqgpMS9-x-hWphA,2025-06-18
UCqOwohpytTTsTHxKtNHk1IQ,BA Film Commission,IRL/Vlogs,Buenos Aires,Por determinar,1410.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCqOwohpytTTsTHxKtNHk1IQ,2025-06-18
UCcrNg4v9WQkfFBq9VC_Cfcw,Club y Biblioteca Mariano Moreno,Entretenimiento,Argentina,Por determinar,1970.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCcrNg4v9WQkfFBq9VC_Cfcw,2025-06-18
UC3HeAKLbdfIXDWOhM_Ty9gQ,Leandro Toti,Deportes,Argentina,Por determinar,1300.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UC3HeAKLbdfIXDWOhM_Ty9gQ,2025-06-18
UCQFO4Dr6-jiCkXv_jyZNGhQ,Eclesia,Entretenimiento,Santa Fe,Por determinar,6050.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCQFO4Dr6-jiCkXv_jyZNGhQ,2025-06-18
UCJi8ZBbLPl7MEzYT8M_y8bw,Red Moskito Radio,Charlas/Podcast,Santa Fe,Por determinar,4210.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCJi8ZBbLPl7MEzYT8M_y8bw,2025-06-18
UCNlety-E1sDhzVKK6JTQ4hA,Centro de Anatomía Quirúrgica,Educativo,Buenos Aires,Por determinar,8730.0,93.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCNlety-E1sDhzVKK6JTQ4hA,2025-06-18
UCpvH8vARMGmxA6PO8KL0xcA,noticiadelmundo,Música,Mendoza,Por determinar,1130.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCpvH8vARMGmxA6PO8KL0xcA,2025-06-18
UCprAOIMJ3rxG5eQdfT6F1sg,multishowtvweb,Música,Argentina,Por determinar,1390.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCprAOIMJ3rxG5eQdfT6F1sg,2025-06-18
UCfuCixFZ3OOOVy5CoIXFb-Q,Winexplorers,Arte,Mendoza,Por determinar,4120.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCfuCixFZ3OOOVy5CoIXFb-Q,2025-06-18
UC4oQ4n1b1S-ZMxFwodff5_w,RVZ Livestreaming,Entretenimiento,Buenos Aires,Por determinar,1440.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UC4oQ4n1b1S-ZMxFwodff5_w,2025-06-18
UCsQIymWYI9OFS3OrZStQd5g,GRID TV,Entretenimiento,Argentina,Por determinar,738.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCsQIymWYI9OFS3OrZStQd5g,2025-06-18
UCyVLvTH0NMdWwXlUG8Dyu4g,GG_VLA,Gaming,Buenos Aires,Por determinar,952.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCyVLvTH0NMdWwXlUG8Dyu4g,2025-06-18
UCAWzTHhI9vvEWHzuA2SmQQA,Rock en Ascenso,Música,Buenos Aires,Por determinar,969.0,93.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCAWzTHhI9vvEWHzuA2SmQQA,2025-06-18
UChcT5dcjW78RzZiPrzVySqA,Estudio 613,IRL/Vlogs,Buenos Aires,Por determinar,1300.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UChcT5dcjW78RzZiPrzVySqA,2025-06-18
UCADWPlpKHqlkODRnOf7jNFA,Somos APL,Entretenimiento,Argentina,Por determinar,1890.0,95.0,explicit_country,menciona_argentino,https://youtube.com/channel/UCADWPlpKHqlkODRnOf7jNFA,2025-06-18
UCT5ILNqmCLux8ytcJVFSLGQ,Educación ambiental en debate,Charlas/Podcast,Santa Fe,Por determinar,3250.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCT5ILNqmCLux8ytcJVFSLGQ,2025-06-18
UCIjfBicz55kEouzSqQUxvGg,Open Water Argentina,Entretenimiento,Argentina,Por determinar,928.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCIjfBicz55kEouzSqQUxvGg,2025-06-18
UCLMltQGEkXfVRIwxO86-YEg,EnNegroHM,Música,Buenos Aires,Por determinar,741.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCLMltQGEkXfVRIwxO86-YEg,2025-06-18
UC2zO2jZCDplwm8SVsXUcxCQ,La 100,Charlas/Podcast,Santa Fe,Por determinar,562000.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UC2zO2jZCDplwm8SVsXUcxCQ,2025-06-18
UC1MkhIMPTyFJTv0NWXfWBWg,PLAYERS ARGENTINA,Gaming,Argentina,Por determinar,6570.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UC1MkhIMPTyFJTv0NWXfWBWg,2025-06-28
UCV6PHNIDL4VWtyAmO788tvA,PRESENCIA MUNDIAL ONLINE - Canal Oficial,Cocina,Buenos Aires,Por determinar,71600.0,97.0,local_code,"""codigo_ARGENTINA, menciona_argentina, menciona_arg, locations_2""",https://youtube.com/channel/UCV6PHNIDL4VWtyAmO788tvA,2025-06-28
UCY5Rt0dXyCCor1ZNS8N7QxQ,Onvres,Charlas/Podcast,Argentina,Por determinar,5510.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg, menciona_🇦🇷""",https://youtube.com/channel/UCY5Rt0dXyCCor1ZNS8N7QxQ,2025-06-28
UCwDjEGEuoRlmgK6JqS4z1GA,MZL Deportes,Deportes,Argentina,Por determinar,3140.0,100.0,explicit_country,"""metadata_AR, menciona_argentino, menciona_argentinos, menciona_arg""",https://youtube.com/channel/UCwDjEGEuoRlmgK6JqS4z1GA,2025-06-28
UCV1sUN_ToA6PeWOJO2f61zg,Gaston Tech Solutions,Tecnología,Argentina,Por determinar,8960.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UCV1sUN_ToA6PeWOJO2f61zg,2025-06-28
UCgDAnKZngqzL2sJHTI7eUuA,Telemetrico F1 Adrian Puente #TelemetricoF1,Música,Argentina,Por determinar,273000.0,100.0,explicit_country,"""metadata_AR, menciona_argentino, menciona_arg, menciona_🇦🇷""",https://youtube.com/channel/UCgDAnKZngqzL2sJHTI7eUuA,2025-06-28
UCXij9uxRe_SqXCUPJO31-eg,CANAL 432 EN VIVO ARGENTINA,Deportes,Buenos Aires,Por determinar,1090.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg, locations_1""",https://youtube.com/channel/UCXij9uxRe_SqXCUPJO31-eg,2025-06-29
